WorkoutDay,PowerAverage,TimeTotalInHours,HeartRateAverage
2021-11-22,147,3.11762929,147
2021-11-23,,,
2021-11-24,127,1.536282778,0
2021-11-24,,0.55,
2021-11-24,,0.333333333,
2021-11-25,124,0.42527777,0
2021-11-25,136,1.417777777,0
2021-11-26,107,0.966539741,0
2021-11-26,,0.166666667,
2021-11-27,,0.616666667,
2021-11-28,,2.51525116,
2021-11-29,,,
2021-11-30,,0.333333333,
2021-11-30,102,1.021372795,0
2021-12-01,,0.333333333,
2021-12-01,,1.166666667,
2021-12-02,132,1.321595073,0
2021-12-03,136,2.119505405,0
2021-12-03,,0.333333333,
2021-12-04,132,1.388732791,0
2021-12-04,,0.45,
2021-12-04,,0.166666667,
2021-12-05,,0.166666667,
2021-12-05,130,2.564629078,0
2021-12-07,,0.85,
2021-12-08,128,1.585193038,0
2021-12-09,,,
2021-12-09,,0.410487771,142
2021-12-10,123,0.75333333,0
2021-12-12,,,
2021-12-12,163,0.275555551,0
2021-12-12,59,0.093333334,0
2021-12-12,142,0.406533062,159
2021-12-13,,0.356415272,144
2021-12-14,140,0.336863339,0
2021-12-14,176,0.668151379,0
2021-12-14,120,0.512978613,0
2021-12-14,151,17.11783028,169
2021-12-15,148,2.236931801,0
2021-12-16,119,1.030777216,0
2021-12-17,172,1.352256179,0
2021-12-18,142,0.502010286,0
2021-12-18,150,2.050671816,0
2021-12-19,149,2.304930925,0
2021-12-19,,0.833333333,
2021-12-20,,0.416666667,
2021-12-20,,,
2021-12-21,162,0.336111099,157
2021-12-21,216,0.581111133,180
2021-12-21,116,0.503888905,146
2021-12-22,141,2.503055573,143
2021-12-23,,0.964166667,163
2021-12-24,133,1.077849507,139
2021-12-25,,,
2021-12-25,,,
2021-12-26,150,0.26111111,150
2021-12-26,205,0.375279427,179
2021-12-26,51,0.198788598,126
2021-12-27,151,0.252777785,161
2021-12-27,192,0.370277792,179
2021-12-27,71,0.264356375,136
2021-12-27,,0.628333333,172
2021-12-28,95,0.263985008,0
2021-12-28,195,0.276388884,0
2021-12-29,,,
2021-12-29,,0.637876093,148
2021-12-30,,2.010918856,115
2021-12-31,,1.511576056,101
2022-01-02,,1.145625591,133
2022-01-03,160,0.853333354,174
2022-01-04,129,1.355307698,153
2022-01-05,,0.501392782,137
2022-01-05,,0.5,
2022-01-06,,,
2022-01-06,,1.112292528,147
2022-01-07,,0.75,
2022-01-08,127,1.215044737,153
2022-01-08,,2.068111181,97
2022-01-09,,1.139844418,75
2022-01-10,,,
2022-01-11,,0.583333333,
2022-01-11,135,1.511388898,157
2022-01-12,,0.700024426,168
2022-01-13,126,1.335555553,151
2022-01-14,126,0.861637235,156
2022-01-14,,0.583333333,
2022-01-15,,,
2022-01-15,124,0.316388875,146
2022-01-15,117,1.674166679,136
2022-01-16,,,
2022-01-16,123,1.035553813,138
2022-01-16,,1.112853885,111
2022-01-16,109,0.921666682,0
2022-01-17,,,
2022-01-18,,0.583333333,
2022-01-18,146,1.531944394,153
2022-01-19,,,
2022-01-19,119,2.16450572,139
2022-01-20,150,1.317777753,151
2022-01-21,,0.583333333,
2022-01-22,130,2.05663538,142
2022-01-22,,0.669308603,155
2022-01-23,124,1.350237489,145
2022-01-23,97,1.003333333,132
2022-01-24,,,
2022-01-24,,0.75,
2022-01-25,153,1.349582553,174
2022-01-26,126,1.549166679,0
2022-01-26,106,0.439166665,0
2022-01-26,113,0.572222233,0
2022-01-27,142,1.568055511,144
2022-01-28,,0.5,
2022-01-29,150,1.025277734,135
2022-01-29,113,1.504722238,132
2022-01-30,,,
2022-01-30,,1.921352267,113
2022-01-30,,1.723136663,113
2022-01-31,,,
2022-01-31,,0.75,
2022-02-01,133,1.740555525,147
2022-02-02,,0.489722222,
2022-02-02,,,
