WorkoutDay,PowerAverage,TimeTotalInHours,HeartRateAverage
2020-11-22,145,1.500361323,
2020-11-23,,2.278124809,
2020-11-24,155,2.047286034,
2020-11-25,171,2.000436306,
2020-11-27,180,4.061142445,
2020-11-29,128,0.230442777,
2020-11-29,168,0.74371779,
2020-11-30,,2.5,
2020-11-30,,,
2020-12-02,,1.589184403,
2020-12-03,,3.086689949,
2020-12-04,207,2.000264168,
2020-12-07,,1.648391962,
2020-12-08,,2.306186676,
2020-12-10,,1.139274478,
2020-12-12,220,2.500237942,
2020-12-13,,2.324974298,
2020-12-14,,2,
2020-12-14,,,
2020-12-15,,,
2020-12-16,,1.94920969,
2020-12-16,215,1.080060244,
2020-12-16,,,
2020-12-17,,3.245665073,
2020-12-17,,,
2020-12-18,,,
2020-12-19,,1.945381165,
2020-12-19,190,0.500196934,
2020-12-19,,,
2020-12-20,,3.833333333,
2020-12-20,,,
2020-12-20,,,
2020-12-20,,,
2020-12-21,0,1.875134706,
2020-12-21,,,
2020-12-22,,,
2020-12-22,,,
2020-12-23,0,2.671894789,
2020-12-24,,,
2020-12-24,,,
2020-12-25,,,
2020-12-25,0,3.103692293,
2020-12-25,0,0.343373358,
2020-12-26,,,
2020-12-27,,,
2020-12-27,,,
2020-12-28,98,1.500438333,
2020-12-29,0,4.002932549,
2020-12-29,,0.75,
2020-12-30,196,2.001040697,
2021-01-01,,2,
2021-01-01,,1.75,
2021-01-01,,0.5,
2021-01-02,,2,
2021-01-02,,0.75,
2021-01-03,,1.75,
2021-01-05,164,1.273148656,
2021-01-06,201,1.503646374,
2021-01-06,,1.125220776,
2021-01-08,175,0.391028613,
2021-01-08,0,1.173795342,
2021-01-10,,2.810064077,
2021-01-10,,1.747928619,
2021-01-12,,3.265002728,
2021-01-13,165,1.623108268,
2021-01-13,,,
2021-01-14,,3.028024912,
2021-01-14,205,1.508737206,
2021-01-15,134,1.259166667,
2021-01-16,197,3.000157833,
2021-01-17,,3.517103195,
2021-01-18,,,
2021-01-18,,0.640832543,
2021-01-19,183,3.035758972,
2021-01-19,,,
2021-01-20,188,1.021522999,
2021-01-20,,2.491373777,
2021-01-20,,0.551150262,
2021-01-21,193,1.754339218,
2021-01-21,,,
2021-01-22,,,
2021-01-22,,0.273619443,
2021-01-23,,3.986697435,
2021-01-24,,3.833333333,
2021-01-24,,0.166666667,
2021-01-25,,,
2021-01-26,199,2.183055639,
2021-01-26,,,
2021-01-27,,1.209251761,
2021-01-27,,2.250122547,
2021-01-28,167,1.539039135,
2021-01-29,,,
2021-01-30,196,3.526742935,
2021-01-30,41,1.298068047,
2021-01-30,,0.166666667,
2021-01-31,,4.05629015,
2021-01-31,,0.25,
2021-02-01,,,
2021-02-02,229,1.166666667,
2021-02-02,111,0.5,
2021-02-03,,3,
2021-02-04,,2,
2021-02-04,,0.5,
2021-02-05,,0.75,
2021-02-05,,,
2021-02-06,216,2.000635386,
2021-02-08,,,
2021-02-09,200,1.354748726,
2021-02-09,,0.5,
2021-02-10,,2.161497355,
2021-02-11,,2,
2021-02-12,,,
2021-02-13,,1.188590169,
2021-02-14,,2,
2021-02-15,,0.158417493,
2021-02-16,191,1.115320325,
2021-02-17,,8,
2021-02-18,,6,
2021-02-19,,,
2021-02-20,,,
2021-02-20,,,
